English	 Japanese
I	 わたし
You	あなた
That person	 あのひと／あのかた
Mr	さん
Ms	さん
Mr(Close)	ちゃん
Ms(Close)	ちゃん
Teacher	 せんせい　（先生）
Teacher (When referring to themselves)	 きょうし　（教師）
Student	 がくせい（学生）
Company Employee	かいしゃいん（会社員）
Employee of ~ Company	 ~のしゃいん　（～の社員）
Bank employee	ぎんこういん（銀行員）
Medical Doctor	いしゃ（医者）
Researcher	けんきゅうしゃ　（研究者）
Scholar	 けんきゅしゃ（研究者）
University	だいがく（大学）
Hospital	びょういん（病院）
Who	 だれ（どなた）
~Years old	 ~さい（歳）
How old	 なんさい（何歳）
Yes	はい
No	いいえ
How do you do	はじめまして（初めまして）
I'm from ~	~　からきました
Pleased to meet you	 よろしくおねがいします（よろしくお願いします）
Excuse me ,but	しつれいですが（失礼ですが）
May I have your name?	(おなまえは）お名前は
This is Mr ~	 こちらは~さんです
This (Thing here)	これ
That (Thing near the listener)	それ
That (Thing over there)	あれ
This ~ here	この~
That ~ near the listener	その~
That ~ over there	あの~
Book	ほん（本）
Dictionary	じしょ（辞書）
Magazine	ざっし（雑誌）
Newspaper	しんぶん（新聞）
Notebook	ノート
Personal Organiser	てちょう（手帳）
Business Card	めいし（めいし）
(Credit) Card	カード
Pencil	えんぴつ　（鉛筆）
Ballpoint pen	バールペン
Mechanical Pencil / Propelling pencil	シャープペンシル
Key	かぎ
Watch, Clock	とけい　（時計）
Umbrella	かさ（傘）
Bag / Briefcase	かばん　
CD / Compact Disc	CD
Television	テレビ
Radio	ラジオ
Camera	カメラ
Computer	コンピーター
Car / Vehicle	くるま　（車）
Desk	つくえ　（机）
Chair	いす　（椅子）
Chocolate	チョコレート
Coffee	コーヒー
Souvenir / Present	おみやげ　（お土産）
English Language	えいご　（英語）
Japanese Language	にほんご （日本語）
~ Language	~ ご　（～語）
What	なに　（何）
So	そう
Here	ここ
There ( Near listener)	そこ
There (Far from both)	あそこ
Where	どこ
This way / This place (Polite)	こちら
That way / That place near listener (Polite)	そちら
That way / That place far from both (Polite)	あちら
Which way	どちら
Classroom	きょうしつ　（教室）
Dining hall / Canteen	しょくどう　（食堂）
Office	じむしょ（事務所）
Conference Room / Meeting room	かいぎしつ　（会議室）
Reception desk	うけつけ　（受付）
Lobby	ロビー
Room	へや　（部屋）
Toilet / Rest room	おてあらい / トイレ 　(お手洗い）
Staircase	かいだん　（階段）
Lift / Elevator	エレベーター
Escalator	エスカレーター
Vending Machine	じどうはんばいき　（自動販売機）
Telephone Handset / Telephone call	でんわ　（電話）
Country	おくに　(お国）
Company	かいしゃ　（会社）
House / Home	うち
Shoes	くつ　（靴）
Tie / Necktie	ネクタイ
Wine	ワイン
Department / Counter (In department store)	うりば　（売り場）
Basement	ちか
~th floor	~かい（がい）
what floor	なんがい
~yen	~　えん　（円）
How much	いくら
Hundred	ひゃく　（百）
Thousand	せん （千）
Ten thousand	まん　(万）
Excuse me	すみません
Thanks	どうも
Welcome / How may I help you?	いらっしゃいませ
Please show me ~	~ をみせてください　（~を見せてください）
When then / In that case	じゃ
Give me ~ , please	~ をください
Get up / Wake up	おきます（起きます）
